rank_tfidf,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,similitud_tfidf,idioma
116,opcionempleo::617402,opcionempleo,Analista de Control de Gestión (San Isidro),GA.Ma Italy,Control de Gestión,Argentina,,https://www.opcionempleo.com.ar/jobad/ar0c19cd7fa8ad830feb63f787f617402d,0.09327125868857185,es
117,opcionempleo::jobadar79d4fa50a1b653a8529a94d929d4191c,opcionempleo,Gerente de Sucursal (Mendoza),Swiss Medical Group,Gerente de Operaciones,Mendoza,,https://www.opcionempleo.com.ar/jobad/ar79d4fa50a1b653a8529a94d929d4191c,0.09316295882704083,es
118,opcionempleo::049844,opcionempleo,Analista de Compras Rubro Seguridad Electrónica,HR Oasis Consultora RRHH,Compras / Procurement,"Palermo, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ardcde049844a40fc87ce55613580d0dc3,0.09291437932898415,es
119,opcionempleo::jobadard87b4da9a29d7917a6f531b9005bcac0,opcionempleo,Ingeniero Mecánico para compras – Papelera (Buenos Aires),Selin,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ard87b4da9a29d7917a6f531b9005bcac0,0.0923976725257237,es
120,bumeran::1118134698,bumeran,Líder de Finanzas y operación hotelera - Patagonia Austral (ref HTL700),Gennera Recursos Humanos,Finanzas / CAPEX,"El Calafate, Santa Cruz",Presencial,https://www.bumeran.com.ar/empleos/lider-de-finanzas-y-operacion-hotelera-patagonia-austral-ref-htl700-gennera-recursos-humanos-1118134698.html,0.09225282693139157,es
121,opcionempleo::jobadarfa8ebb2409fc66bfc9ceccbdb4376cac,opcionempleo,Analista de Compras Campo (Libertador General San Martín),Ledesma,Compras / Procurement,"Libertador General San Martín, Jujuy",,https://www.opcionempleo.com.ar/jobad/arfa8ebb2409fc66bfc9ceccbdb4376cac,0.09196338112838312,es
122,opcionempleo::jobadar96b9574d897a51caf5fcab096f0c8f6f,opcionempleo,Analista de Control de Gestión (Rosario),Find Me,Control de Gestión,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar96b9574d897a51caf5fcab096f0c8f6f,0.09193451931777845,es
123,opcionempleo::32008984,opcionempleo,Analista de Compras Sr (Rosario),Louis Dreyfus Company,Compras / Procurement,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar910e9537c0810da32008984b3853fc52,0.0917849107699183,es
124,opcionempleo::76818073,opcionempleo,Analista De Control De Gestión San Isidro,GA.Ma Italy,Control de Gestión,Argentina,,https://www.opcionempleo.com.ar/jobad/ard76818073ac33b1bd6f5c9c9e28e6b48,0.09171737260176983,es
125,opcionempleo::jobadar1687d170be061ce664a9aec3dfbd22f9,opcionempleo,Analista de Compras e Importaciones (Buenos Aires),Adecco,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar1687d170be061ce664a9aec3dfbd22f9,0.09162978693036324,es
126,opcionempleo::241316,opcionempleo,Jefe de Finanzas (Rosario),Nexa,Finanzas / CAPEX,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/arad37a984a13cce241316f1c5076d5f68,0.09149337752558136,es
127,opcionempleo::jobadarf0ee4280b14a67d497c3cbe0cb9a7760,opcionempleo,Gerente General De Operaciones,Simplia,Gerente de Operaciones,"San Isidro, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arf0ee4280b14a67d497c3cbe0cb9a7760,0.09125302762657063,es
128,opcionempleo::3831469,opcionempleo,Gerente General De Operaciones,Soledad perez,Gerente de Operaciones,"San Isidro, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar98a3831469cfae147304feaac63d2ef1,0.09125302762657063,es
129,opcionempleo::621467769,opcionempleo,Jefe Administración y Control de Gestión / Moreno,ADN Recursos Humanos,Control de Gestión,Argentina,,https://www.opcionempleo.com.ar/jobad/ar621467769d52e9900dbe3fb652881adc,0.09115563404059104,es
130,opcionempleo::21431,opcionempleo,Gerente General De Operaciones,,Gerente de Operaciones,"San Isidro, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar3f21431a12bda041fe23af47f03f33de,0.09108315327189824,es
131,bumeran::1118111894,bumeran,Analista Control de gestión,Confidencial,Control de Gestión,"Don Torcuato, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/analista-control-de-gestion-1118111894.html,0.09062564775592613,es
132,opcionempleo::jobadar11da49a7ea275d6916adbbcd8d3d3f52,opcionempleo,Analista En Auditoria Contable Y Control De Gestión Córdoba,Autocity,Control de Gestión,Argentina,,https://www.opcionempleo.com.ar/jobad/ar11da49a7ea275d6916adbbcd8d3d3f52,0.09049249369476876,es
133,bumeran::1117992955,bumeran,Jefe de Compras,Distribuidora Bulones Coiro SA,Compras / Procurement,"Lomas de Zamora, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/jefe-de-compras-distribuidora-bulones-coiro-sa-1117992955.html,0.09009681963285911,es
134,opcionempleo::48227,opcionempleo,Gerente de Operaciones y Logística - Ing Industrial (Buenos Aires),Manage Resources,Gerente de Operaciones,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar304cc1b363f9e074e48227d400bdbb43,0.08950163460175664,es
135,opcionempleo::09675,opcionempleo,Activador/a De Compras Y Materiales Malvinas Argentinas,SCI Comunidad,Compras / Procurement,"Buenos Aires, Argentina",,https://www.opcionempleo.com.ar/jobad/ar5748bb53b3972d09675ca057373ffaa4,0.08940684092973222,es
