rank_tfidf,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,similitud_tfidf,idioma
362,opcionempleo::28425,opcionempleo,Data Scientist Sr,Fyg | For Your Growth,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar9732c3dec28425def360a99fdcb3cc4e,0.05258833378298628,es
363,opcionempleo::62216,opcionempleo,Sr Software Engineer GenAI Security,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arca62216e9f6b596209c96ddf7e60f960,0.05248639594040705,es
364,opcionempleo::8583821476,opcionempleo,Machine Learning Engineer / Data Scientist (Semi-Senior – Senior) (Remote),GreenCode,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arbe3979b120daea8583821476a22eac1f,0.052468902258062645,es
365,getonboard::ingeniero-backend-java-y-node-js-agilistik-santiago,getonboard,Ingeniero Back-end Java y Node.js,,NLP Engineer,Chile,Híbrido,https://www.getonbrd.com/jobs/ingeniero-backend-java-y-node-js-agilistik-santiago,0.052440933902071926,es
366,linkedin::4451260338,linkedin,Senior Backend Software Engineer,Mercado Libre,Desarrollador Backend,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4451260338,0.05242357986460661,es
367,jobrapido::8710518820344692736,jobrapido,Desarrollador/A Backend (Rosario),Empresa reconocida,Desarrollador Full Stack,"Rosario, Santa Fe",,https://ar.jobrapido.com/jobpreview/8710518820344692736?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F53367539%252Fdesarrollador-a-backend-rosario&w=Python&p=4,0.05234631567148503,es
368,opcionempleo::2336868,opcionempleo,Cyber Security Software Engineer - Incident Response & Risk,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar0daee0c2ba10b38d6521e2336868f983,0.05229606406992014,es
369,opcionempleo::10010,opcionempleo,Backend Ai Engineer (Sr) – Python / Langgraph / Azure,Rocket Stars,Python Developer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar7debf6fe2c09d40ec16a1e10010b2096,0.052287851001259475,es
370,getonboard::growth-42labs-santiago,getonboard,Growth Data Analyst,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/growth-42labs-santiago,0.05226420956501969,es
371,getonboard::product-owner-canales-digitales-bice-vida-santiago-b935,getonboard,Product Owner – Canales Digitales,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/product-owner-canales-digitales-bice-vida-santiago-b935,0.05223507944833671,es
372,getonboard::e-commerce-developer-fullkom-santiago,getonboard,E-commerce Developer,,Backend,Chile,Híbrido,https://www.getonbrd.com/jobs/e-commerce-developer-fullkom-santiago,0.05222569694511889,es
373,opcionempleo::jobadarab497f753d9422b4be51edd7aa3716d8,opcionempleo,Python Developer (Senior) - Fastapi / Sqlalchemy /,Talent Connect,Python Developer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arab497f753d9422b4be51edd7aa3716d8,0.052220415267078726,es
374,linkedin::4457193947,linkedin,Machine Learning Engineer,Cashea,Data Scientist,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4457193947,0.05221530713294543,es
375,getonboard::senior-ai-research-engineer-improving-remote,getonboard,Senior AI Research Engineer,,Machine Learning,Remoto,Remoto,https://www.getonbrd.com/jobs/senior-ai-research-engineer-improving-remote,0.05213863340486544,es
376,opcionempleo::44248,opcionempleo,Backend Ai Engineer (Sr) – Python / Langgraph / Azure (Buenos Aires),Rocket Stars,Python Developer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar35f78f095b139feee9656b44248e815a,0.05212929045505592,es
377,bumeran::1118348901,bumeran,Desarrollador Fullstack Sr (Node-Angular) - Remoto Argentina,ACCIONA IT,Software Engineer,Great Place to Work,Remoto,https://www.bumeran.com.ar/empleos/desarrollador-fullstack-sr-node-angular-remoto-argentina-acciona-it-1118348901.html,0.05209703566829154,es
378,getonboard::account-executive-lemontech-ciudad-de-mexico-guadalajara-monterrey-d285,getonboard,Account Executive,,NLP Engineer,Mexico,Híbrido,https://www.getonbrd.com/jobs/account-executive-lemontech-ciudad-de-mexico-guadalajara-monterrey-d285,0.05200949672696034,es
379,opcionempleo::74428,opcionempleo,Data Scientist Sr Buenos Aires,FYG | For Your Growth,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar74428c99e14599605406e5aa1013aa19,0.05191977922332222,es
380,opcionempleo::84080556241081,opcionempleo,Ingeniero De Datos + Ingles Buenos Aires,,Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arf3a6262ec8e93a028c84080556241081,0.051915907143943126,es
