rank_final,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,score_final,similitud_embed,similitud_tfidf,rank_embed,rank_tfidf
631,getonboard::ingeniero-ml-data-scientist-lisit-remote,getonboard,Ingeniero ML / Data Scientist,,Data Scientist,Chile,Híbrido,https://www.getonbrd.com/jobs/ingeniero-ml-data-scientist-lisit-remote,0.3498753104574752,0.30423608,0.0193623802272524,462,948
632,jobrapido::4581381104996450304,jobrapido,Principal NLP Scientist (Esquel),Sourceability,NLP Engineer,Esquel,,https://ar.jobrapido.com/jobpreview/4581381104996450304?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F53190501%252Fprincipal-nlp-scientist-esquel&w=Python&p=4,0.3498652654310727,0.309659,0.0151602310680713,438,1038
633,opcionempleo::jobadar8ff41d6e1357a15df0d13ff6629ee256,opcionempleo,Desarrollador Fullstack Ssr & Sr - Remoto Argentina ID,Werben HR,Desarrollador Full Stack,Argentina,,https://www.opcionempleo.com.ar/jobad/ar8ff41d6e1357a15df0d13ff6629ee256,0.3496003241496742,0.27496666,0.0418383995876771,674,560
634,linkedin::4450863929,linkedin,Sr. Machine Learning Engineer,Promtior,Data Scientist,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4450863929,0.34955753580988225,0.30794036,0.0162988742863572,452,1007
635,bumeran::1118368719,bumeran,Programador Tornos CNC - Turno Noche,MECANIZADOS GABRIEL S.A,Software Engineer,"San Andres, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/programador-tornos-cnc-turno-noche-mecanizados-gabriel-s.a-1118368719.html,0.34953589946846664,0.29195738,0.0286520481490218,553,775
636,getonboard::senior-data-engineer-revel-street-llc-remote,getonboard,Senior Data Engineer,,Data Analyst,Remoto,Remoto,https://www.getonbrd.com/jobs/senior-data-engineer-revel-street-llc-remote,0.3494114945187009,0.32317847,0.0044178887617526,362,1328
637,getonboard::full-stack-engineer-dynamic-devs-santiago-7c44,getonboard,Full-Stack Engineer (RPA / ETL / Automatización),,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/full-stack-engineer-dynamic-devs-santiago-7c44,0.34921952922058,0.27012852,0.0453453323816115,704,503
638,linkedin::4447366467,linkedin,"Junior Software Engineer with Accounting Experience (Argentina) Argentina, Remote",Sezzle LA,Software Engineer,Argentina,,https://www.linkedin.com/jobs/view/4447366467,0.3491371843286579,0.3147226,0.0107901283792849,395,1151
639,getonboard::account-manager-enterprise-omnix-ai-corp-barcelona-madrid,getonboard,Account Manager (Enterprise),,Data Analyst,España,Híbrido,https://www.getonbrd.com/jobs/account-manager-enterprise-omnix-ai-corp-barcelona-madrid,0.34866778070917326,0.2621841,0.0511495275144429,765,391
640,opcionempleo::785909,opcionempleo,Product Data Scientist (Buenos Aires),,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar01d18cf9e73b7b554dd824ca3d785909,0.3485855951804786,0.29077226,0.028978784206083,566,767
641,getonboard::senior-ai-research-engineer-improving-remote,getonboard,Senior AI Research Engineer,,Machine Learning,Remoto,Remoto,https://www.getonbrd.com/jobs/senior-ai-research-engineer-improving-remote,0.34855253639099526,0.26081324,0.0521386334048654,780,375
642,opcionempleo::464505,opcionempleo,Desarrollador Backend Junior Infraestructura Y Iot Con Experiencia,Ycc Brother En Argentina S.R.L.,Desarrollador Backend,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar2b682f464505c9617878e41490f97a35,0.34852658281654536,0.25344968,0.0578199674811386,835,277
643,opcionempleo::75229,opcionempleo,Desarrollador Full Stack Y Automatización Ia — Flexible,B&B Consultores,Desarrollador Full Stack,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/are7c5a75229aa81892686a101f40bbc2e,0.34842756211522513,0.2772173,0.0393685947434075,659,608
644,linkedin::4457037064,linkedin,FullStack Developer (Node + Vue),Allata,Software Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4457037064,0.34809922832554013,0.32093948,0.0053352276494227,374,1294
645,getonboard::full-stack-ia-engineer-semi-senior-3it-santiago,getonboard,Full-Stack AI Engineer (GenAI / Agentic AI),,Machine Learning,Chile,Híbrido,https://www.getonbrd.com/jobs/full-stack-ia-engineer-semi-senior-3it-santiago,0.3480150426580785,0.30952066,0.0141180957196161,440,1064
646,linkedin::4321217980,linkedin,"Senior Machine Learning Engineer - Not an Active Opening, Building Talent Pipeline",Caylent,Machine Learning Engineer,Argentina,,https://www.linkedin.com/jobs/view/4321217980,0.34793516786619966,0.3091491,0.0143559749263587,442,1055
647,getonboard::ejecutivo-de-prospeccion-geovictoria-santiago,getonboard,Ejecutivo de Prospección,,NLP Engineer,Chile,Híbrido,https://www.getonbrd.com/jobs/ejecutivo-de-prospeccion-geovictoria-santiago,0.34790841095294445,0.31149694,0.0125227471054244,420,1102
