rank_optimizado,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,score_optimizado,similitud_tfidf
372,getonboard::e-commerce-developer-fullkom-santiago,getonboard,E-commerce Developer,,Backend,Chile,Híbrido,https://www.getonbrd.com/jobs/e-commerce-developer-fullkom-santiago,0.28028587247784087,0.0522256969451188
373,opcionempleo::jobadarab497f753d9422b4be51edd7aa3716d8,opcionempleo,Python Developer (Senior) - Fastapi / Sqlalchemy /,Talent Connect,Python Developer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arab497f753d9422b4be51edd7aa3716d8,0.2802575266667898,0.0522204152670787
374,linkedin::4457193947,linkedin,Machine Learning Engineer,Cashea,Data Scientist,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4457193947,0.2802301122345078,0.0522153071329454
375,getonboard::senior-ai-research-engineer-improving-remote,getonboard,Senior AI Research Engineer,,Machine Learning,Remoto,Remoto,https://www.getonbrd.com/jobs/senior-ai-research-engineer-improving-remote,0.27981861819942355,0.0521386334048654
376,opcionempleo::44248,opcionempleo,Backend Ai Engineer (Sr) – Python / Langgraph / Azure (Buenos Aires),Rocket Stars,Python Developer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar35f78f095b139feee9656b44248e815a,0.2797684762771123,0.0521292904550559
377,bumeran::1118348901,bumeran,Desarrollador Fullstack Sr (Node-Angular) - Remoto Argentina,ACCIONA IT,Software Engineer,Great Place to Work,Remoto,https://www.bumeran.com.ar/empleos/desarrollador-fullstack-sr-node-angular-remoto-argentina-acciona-it-1118348901.html,0.2795953706685965,0.0520970356682915
378,getonboard::account-executive-lemontech-ciudad-de-mexico-guadalajara-monterrey-d285,getonboard,Account Executive,,NLP Engineer,Mexico,Híbrido,https://www.getonbrd.com/jobs/account-executive-lemontech-ciudad-de-mexico-guadalajara-monterrey-d285,0.2791255649985528,0.0520094967269603
379,opcionempleo::74428,opcionempleo,Data Scientist Sr Buenos Aires,FYG | For Your Growth,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar74428c99e14599605406e5aa1013aa19,0.2786440673785179,0.0519197792233222
380,opcionempleo::84080556241081,opcionempleo,Ingeniero De Datos + Ingles Buenos Aires,,Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arf3a6262ec8e93a028c84080556241081,0.27862328662860825,0.0519159071439431
381,linkedin::4463535353,linkedin,Desarrollador Python,Artax Advisors,Python Developer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4463535353,0.27844163218322593,0.0518820594514804
382,jobrapido::5541165626883571712,jobrapido,Desarrollador Full Stack Ai & Automation Avellaneda (Argentina),Experis Argentina,Desarrollador Full Stack,Avellaneda,,https://ar.jobrapido.com/jobpreview/5541165626883571712?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F52625305%252Fdesarrollador-full-stack-ai-automation-avellaneda-argentina&w=Python&p=5,0.27709289130608394,0.0516307484179117
383,linkedin::4441358198,linkedin,AI Engineer,Improving South America,NLP Engineer,Argentina,,https://www.linkedin.com/jobs/view/4441358198,0.276947326130691,0.0516036252430309
384,linkedin::4448153554,linkedin,Full Stack Developer,VMI,Desarrollador Full Stack,"El Bracho y El Cavilar, Tucumán, Argentina",,https://www.linkedin.com/jobs/view/4448153554,0.2764505991897383,0.0515110700583784
385,getonboard::back-end-developer-java-spring-boot-42labs-santiago,getonboard,Back-end Developer (Java/Spring Boot),,Python Developer,Chile,Híbrido,https://www.getonbrd.com/jobs/back-end-developer-java-spring-boot-42labs-santiago,0.2760110810288314,0.0514291745919017
386,opcionempleo::jobadar28bfb6c2358e7408e3cb965e9874af9e,opcionempleo,Ingenieros/as Con Experiencia En Mwd Lwd Para Importante Empresa De Servicios Petroleros Añelo,Manpower,Ingeniero de Datos,"Añelo, Neuquén",,https://www.opcionempleo.com.ar/jobad/ar28bfb6c2358e7408e3cb965e9874af9e,0.2757212566563914,0.0513751715852266
387,getonboard::senior-software-engineer-unholster-santiago-d463,getonboard,Semi Senior Software Engineer,,Data Scientist,Chile,Híbrido,https://www.getonbrd.com/jobs/senior-software-engineer-unholster-santiago-d463,0.27563671428766173,0.0513594187965139
388,opcionempleo::82065,opcionempleo,Software Engineer Backend Cx It Buenos Aires (Argentina),MercadoLibre,Software Engineer,Argentina,,https://www.opcionempleo.com.ar/jobad/ar3d2ce9f1121e85ab8e82065a8aff7417,0.2754347664514283,0.0513217898343382
389,getonboard::ecommerce-manager-interfell-remote,getonboard,E-commerce Manager,,Backend,Remoto,Remoto,https://www.getonbrd.com/jobs/ecommerce-manager-interfell-remote,0.27540454322529284,0.0513161583373423
390,opcionempleo::79449,opcionempleo,Ingeniero de Datos Cloud (San Nicolás),C\u0026S informatica,Ingeniero de Datos,"San Nicolás, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arfe674e79449e110aa8a874c53cfccf27,0.27459581654827075,0.0511654682081103
391,getonboard::account-manager-enterprise-omnix-ai-corp-barcelona-madrid,getonboard,Account Manager (Enterprise),,Data Analyst,España,Híbrido,https://www.getonbrd.com/jobs/account-manager-enterprise-omnix-ai-corp-barcelona-madrid,0.27451026572762466,0.0511495275144429
392,getonboard::consultor-sap-fico-senior-lisit-santiago,getonboard,Consultor SAP FICO Senior,,NLP Engineer,Chile,Remoto,https://www.getonbrd.com/jobs/consultor-sap-fico-senior-lisit-santiago,0.2744390236053139,0.0511362529620845
393,opcionempleo::jobadar070d40fb3fe57a61f9dc29d7fef3f676,opcionempleo,Software Engineer Backend Cx It Buenos Aires,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar070d40fb3fe57a61f9dc29d7fef3f676,0.2741509172325977,0.0510825700704838
394,jobrapido::4036456613920374784,jobrapido,Desarrollador/a Backend Rosario (Argentina),Importante grupo,Desarrollador Full Stack,"Rosario, Santa Fe",,https://ar.jobrapido.com/jobpreview/4036456613920374784?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F52884823%252Fdesarrollador-a-backend-rosario-argentina&w=Python&p=3,0.2737924947330246,0.0510157851673578
395,bumeran::1118430953,bumeran,Ingeniero/a de Sistemas Aeroespaciales,Management en Red,Software Engineer,Argentina,Remoto,https://www.bumeran.com.ar/empleos/ingeniero-a-de-sistemas-aeroespaciales-management-en-red-1118430953.html,0.27352720410267234,0.0509663535355004
396,linkedin::4459566506,linkedin,Software Engineer,Foundation AI,Desarrollador Full Stack,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4459566506,0.27344379529706375,0.0509508119637267
397,opcionempleo::099293,opcionempleo,Senior Software Engineer (React / Java / Python),We Are TIMS,Software Engineer,Argentina,,https://www.opcionempleo.com.ar/jobad/ar800dceb9c67cebf099293e033fcbdde8,0.27331100753932286,0.0509260696064595
